Perfomance tests of get all listings (/api/listings)

10 users
error 0%
timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1739532667022,64,HTTP Request,200,,listing10 1-1,text,true,,60592,129,1,1,http://localhost:8080/api/listings,60,0,1
1739532667127,46,HTTP Request,200,,listing10 1-2,text,true,,60592,129,1,1,http://localhost:8080/api/listings,43,0,2
1739532667236,42,HTTP Request,200,,listing10 1-3,text,true,,60592,129,1,1,http://localhost:8080/api/listings,39,0,2
1739532667328,61,HTTP Request,200,,listing10 1-4,text,true,,60592,129,1,1,http://localhost:8080/api/listings,57,0,1
1739532667437,41,HTTP Request,200,,listing10 1-5,text,true,,60592,129,1,1,http://localhost:8080/api/listings,38,0,2
1739532667532,62,HTTP Request,200,,listing10 1-6,text,true,,60592,129,1,1,http://localhost:8080/api/listings,58,0,2
1739532667626,50,HTTP Request,200,,listing10 1-7,text,true,,60592,129,1,1,http://localhost:8080/api/listings,47,0,2
1739532667734,53,HTTP Request,200,,listing10 1-8,text,true,,60592,129,1,1,http://localhost:8080/api/listings,52,0,3
1739532667827,43,HTTP Request,200,,listing10 1-9,text,true,,60592,129,1,1,http://localhost:8080/api/listings,41,0,2

25 users
error 0%
1739532667938,58,HTTP Request,200,,listing10 1-10,text,true,,60592,129,1,1,http://localhost:8080/api/listings,56,0,2
1739532675894,21,HTTP Request,200,,listing25 1-1,text,true,,60592,129,1,1,http://localhost:8080/api/listings,20,0,1
1739532675935,34,HTTP Request,200,,listing25 1-2,text,true,,60592,129,1,1,http://localhost:8080/api/listings,33,0,2
1739532675975,23,HTTP Request,200,,listing25 1-3,text,true,,60592,129,1,1,http://localhost:8080/api/listings,22,0,0
1739532676013,20,HTTP Request,200,,listing25 1-4,text,true,,60592,129,1,1,http://localhost:8080/api/listings,19,0,1
1739532676054,25,HTTP Request,200,,listing25 1-5,text,true,,60592,129,1,1,http://localhost:8080/api/listings,24,0,1
1739532676093,30,HTTP Request,200,,listing25 1-6,text,true,,60592,129,1,1,http://localhost:8080/api/listings,28,0,1
1739532676136,17,HTTP Request,200,,listing25 1-7,text,true,,60592,129,1,1,http://localhost:8080/api/listings,16,0,0
1739532676173,22,HTTP Request,200,,listing25 1-8,text,true,,60592,129,1,1,http://localhost:8080/api/listings,22,0,1
1739532676214,14,HTTP Request,200,,listing25 1-9,text,true,,60592,129,1,1,http://localhost:8080/api/listings,14,0,0
1739532676256,32,HTTP Request,200,,listing25 1-10,text,true,,60592,129,1,1,http://localhost:8080/api/listings,31,0,2
1739532676294,25,HTTP Request,200,,listing25 1-11,text,true,,60592,129,1,1,http://localhost:8080/api/listings,23,0,1
1739532676335,26,HTTP Request,200,,listing25 1-12,text,true,,60592,129,1,1,http://localhost:8080/api/listings,25,0,0
1739532676374,20,HTTP Request,200,,listing25 1-13,text,true,,60592,129,1,1,http://localhost:8080/api/listings,18,0,1
1739532676414,16,HTTP Request,200,,listing25 1-14,text,true,,60592,129,1,1,http://localhost:8080/api/listings,15,0,1

50 users
error 0%
1739532676454,21,HTTP Request,200,,listing25 1-15,text,true,,60592,129,1,1,http://localhost:8080/api/listings,20,0,0
1739532676496,19,HTTP Request,200,,listing25 1-16,text,true,,60592,129,1,1,http://localhost:8080/api/listings,19,0,1
1739532676537,14,HTTP Request,200,,listing25 1-17,text,true,,60592,129,1,1,http://localhost:8080/api/listings,13,0,0
1739532676575,15,HTTP Request,200,,listing25 1-18,text,true,,60592,129,1,1,http://localhost:8080/api/listings,14,0,0
1739532676614,16,HTTP Request,200,,listing25 1-19,text,true,,60592,129,1,1,http://localhost:8080/api/listings,15,0,1
1739532676656,15,HTTP Request,200,,listing25 1-20,text,true,,60592,129,1,1,http://localhost:8080/api/listings,15,0,1
1739532676694,36,HTTP Request,200,,listing25 1-21,text,true,,60592,129,1,1,http://localhost:8080/api/listings,35,0,1
1739532676734,21,HTTP Request,200,,listing25 1-22,text,true,,60592,129,1,1,http://localhost:8080/api/listings,20,0,1
1739532676774,16,HTTP Request,200,,listing25 1-23,text,true,,60592,129,1,1,http://localhost:8080/api/listings,16,0,0
1739532676813,17,HTTP Request,200,,listing25 1-24,text,true,,60592,129,1,1,http://localhost:8080/api/listings,16,0,1
1739532676854,16,HTTP Request,200,,listing25 1-25,text,true,,60592,129,1,1,http://localhost:8080/api/listings,15,0,0
1739532680078,17,HTTP Request,200,,listing50 1-1,text,true,,60592,129,1,1,http://localhost:8080/api/listings,16,0,1
1739532680099,16,HTTP Request,200,,listing50 1-2,text,true,,60592,129,1,1,http://localhost:8080/api/listings,15,0,1
1739532680131,18,HTTP Request,200,,listing50 1-3,text,true,,60592,129,2,2,http://localhost:8080/api/listings,17,0,1
1739532680148,20,HTTP Request,200,,listing50 1-4,text,true,,60592,129,2,2,http://localhost:8080/api/listings,19,0,0
1739532680164,23,HTTP Request,200,,listing50 1-5,text,true,,60592,129,2,2,http://localhost:8080/api/listings,22,0,1
1739532680179,17,HTTP Request,200,,listing50 1-6,text,true,,60592,129,1,1,http://localhost:8080/api/listings,16,0,1
1739532680199,12,HTTP Request,200,,listing50 1-7,text,true,,60592,129,1,1,http://localhost:8080/api/listings,12,0,1
1739532680226,19,HTTP Request,200,,listing50 1-8,text,true,,60592,129,2,2,http://localhost:8080/api/listings,18,0,1
1739532680238,18,HTTP Request,200,,listing50 1-9,text,true,,60592,129,1,1,http://localhost:8080/api/listings,18,0,1
1739532680258,15,HTTP Request,200,,listing50 1-10,text,true,,60592,129,1,1,http://localhost:8080/api/listings,15,0,1
1739532680278,13,HTTP Request,200,,listing50 1-11,text,true,,60592,129,1,1,http://localhost:8080/api/listings,12,0,0
1739532680298,15,HTTP Request,200,,listing50 1-12,text,true,,60592,129,1,1,http://localhost:8080/api/listings,14,0,0
1739532680318,16,HTTP Request,200,,listing50 1-13,text,true,,60592,129,1,1,http://localhost:8080/api/listings,16,0,1
1739532680338,15,HTTP Request,200,,listing50 1-14,text,true,,60592,129,1,1,http://localhost:8080/api/listings,14,0,1
1739532680358,18,HTTP Request,200,,listing50 1-15,text,true,,60592,129,1,1,http://localhost:8080/api/listings,17,0,1
1739532680380,16,HTTP Request,200,,listing50 1-16,text,true,,60592,129,1,1,http://localhost:8080/api/listings,16,0,1
1739532680401,15,HTTP Request,200,,listing50 1-17,text,true,,60592,129,1,1,http://localhost:8080/api/listings,15,0,1
1739532680420,13,HTTP Request,200,,listing50 1-18,text,true,,60592,129,1,1,http://localhost:8080/api/listings,12,0,1
1739532680443,14,HTTP Request,200,,listing50 1-19,text,true,,60592,129,1,1,http://localhost:8080/api/listings,12,0,0
1739532680459,14,HTTP Request,200,,listing50 1-20,text,true,,60592,129,1,1,http://localhost:8080/api/listings,14,0,1
1739532680479,15,HTTP Request,200,,listing50 1-21,text,true,,60592,129,1,1,http://localhost:8080/api/listings,15,0,1
1739532680499,15,HTTP Request,200,,listing50 1-22,text,true,,60592,129,1,1,http://localhost:8080/api/listings,15,0,1
1739532680519,12,HTTP Request,200,,listing50 1-23,text,true,,60592,129,1,1,http://localhost:8080/api/listings,12,0,1
1739532680538,17,HTTP Request,200,,listing50 1-24,text,true,,60592,129,1,1,http://localhost:8080/api/listings,16,0,1
1739532680558,18,HTTP Request,200,,listing50 1-25,text,true,,60592,129,1,1,http://localhost:8080/api/listings,17,0,1
1739532680578,15,HTTP Request,200,,listing50 1-26,text,true,,60592,129,1,1,http://localhost:8080/api/listings,15,0,1
1739532680598,12,HTTP Request,200,,listing50 1-27,text,true,,60592,129,1,1,http://localhost:8080/api/listings,11,0,0
1739532680618,14,HTTP Request,200,,listing50 1-28,text,true,,60592,129,1,1,http://localhost:8080/api/listings,13,0,1
1739532680638,14,HTTP Request,200,,listing50 1-29,text,true,,60592,129,1,1,http://localhost:8080/api/listings,14,0,1
1739532680658,17,HTTP Request,200,,listing50 1-30,text,true,,60592,129,1,1,http://localhost:8080/api/listings,16,0,1
1739532680679,15,HTTP Request,200,,listing50 1-31,text,true,,60592,129,1,1,http://localhost:8080/api/listings,15,0,1
1739532680699,18,HTTP Request,200,,listing50 1-32,text,true,,60592,129,1,1,http://localhost:8080/api/listings,17,0,1
1739532680720,14,HTTP Request,200,,listing50 1-33,text,true,,60592,129,1,1,http://localhost:8080/api/listings,14,0,1
1739532680740,13,HTTP Request,200,,listing50 1-34,text,true,,60592,129,1,1,http://localhost:8080/api/listings,13,0,1
1739532680759,16,HTTP Request,200,,listing50 1-35,text,true,,60592,129,1,1,http://localhost:8080/api/listings,15,0,1
1739532680779,14,HTTP Request,200,,listing50 1-36,text,true,,60592,129,1,1,http://localhost:8080/api/listings,13,0,1
1739532680799,15,HTTP Request,200,,listing50 1-37,text,true,,60592,129,1,1,http://localhost:8080/api/listings,15,0,1
1739532680820,13,HTTP Request,200,,listing50 1-38,text,true,,60592,129,1,1,http://localhost:8080/api/listings,13,0,1
1739532680838,13,HTTP Request,200,,listing50 1-39,text,true,,60592,129,1,1,http://localhost:8080/api/listings,13,0,1
1739532680858,13,HTTP Request,200,,listing50 1-40,text,true,,60592,129,1,1,http://localhost:8080/api/listings,12,0,1
1739532680878,13,HTTP Request,200,,listing50 1-41,text,true,,60592,129,1,1,http://localhost:8080/api/listings,12,0,1
1739532680898,12,HTTP Request,200,,listing50 1-42,text,true,,60592,129,1,1,http://localhost:8080/api/listings,12,0,0
1739532680920,23,HTTP Request,200,,listing50 1-43,text,true,,60592,129,2,2,http://localhost:8080/api/listings,22,0,2
1739532680938,17,HTTP Request,200,,listing50 1-44,text,true,,60592,129,1,1,http://localhost:8080/api/listings,16,0,2
1739532680958,16,HTTP Request,200,,listing50 1-45,text,true,,60592,129,1,1,http://localhost:8080/api/listings,15,0,1
1739532680981,16,HTTP Request,200,,listing50 1-46,text,true,,60592,129,1,1,http://localhost:8080/api/listings,15,0,1
1739532680999,18,HTTP Request,200,,listing50 1-47,text,true,,60592,129,1,1,http://localhost:8080/api/listings,17,0,1
1739532681019,15,HTTP Request,200,,listing50 1-48,text,true,,60592,129,1,1,http://localhost:8080/api/listings,14,0,1
1739532681040,12,HTTP Request,200,,listing50 1-49,text,true,,60592,129,1,1,http://localhost:8080/api/listings,11,0,0
1739532681058,15,HTTP Request,200,,listing50 1-50,text,true,,60592,129,1,1,http://localhost:8080/api/listings,15,0,1
